foul                dirty soiled disgusting unpleasant 
mirage              optical illusion deception imagined 
genre               kind category species type class 
untie               loosen free unbind 
scold               chide dress nag snap vixen 
originality         novelty speciality ingenuity 
outwit              frustrate circumvent outsmart 
lore                learning scholarship erudition 
immature            unripe green undeveloped raw 
antecede            go before precede priority 
digit               member finger numeral cipher 
stipulate           specify demand insist upon require 
yellow              fair blond cowardly jealous 
unify               consolidate combine join 
disturb             annoy disrupt molest unsettle 
prize               appreciate award reward trophy 
succession          series train continuation suite 
reliable            trustworthy dependable trusty 
charter             grant sanction license establish 
simile              comparison figurative 
preface             foreword prologue preamble 
pulse               throb beat quiver tremble 
elegant             beauty classic rich tasteful 
second              moment instant backer assistant 
valiant             brave courageous gallant daring 
sterile             barren unfruitful aseptic 
inanimate           inorganic lifeless inactive inert 
ruthless            relentless merciless cruel 
thunder             shout bellow resound peal roar 
fossil              relic petrification oldness 
resilient           buoyant tough rebounding elastic 
crouch              bend squat stoop cower cringe 
avert               keep off ward off 
herb                potherb condiment vegetable 
error               fallacy falsetruth misconception 
here                hereabouts hither hitherward 
herd                group flock drove gathering 
cult                cultus sect religion denomination 
shriek              scream screech shrill squeal 
calculate           compute reckon count appraise 
substance           matter frame object thing body 
diplomat            envoy ambassador statesman 
criticism           blame comment critique analysis 
golden              gilded aureate precious priceless 
divide              separate allot assign split up 
classification      grouping category allocation order 
lengthen            elongate extend protract stretch 
replace             supplant succeed restore substitute 
remnant             remainder residue fragment vestige 
stern               rigorous austere forbidding 
unit                detail member squad section segment 
spoke               ray rung stave rundel 
browse              graze feed nible pasture 
exhort              incite urge prompt admonish 
symphony            harmony concert orchestra 
music               song lyrics poetry melody tuneful 
telegraph           telegram morse cable signal wire 
strike              hit smite beat impress cancel 
until               till to up to the time of 
holy                celestial sacred devout pious 
relax               rest relent slacken loosen abate 
hurt                damage pain ache injury wound 
glass               crystal mirror lens slide 
hurl                throw project pitch toss fling 
hole                opening aperture gap cavity hollow 
hold                grasp clutch grip tenure 
unpack              unwrap uncover open unload 
copse               grove wood hedge plant tree 
intake              consume ingestion assimilation 
pursue              chase ensue follow seek 
blade               cutter edge sword knife 
locker              chest cabinet safe foot locker 
exhale              breathe expel emanate emit expire 
example             sample specimen piece instance 
wand                rod mace scepter staff stick 
wane                decrease lessen ebb diminish fade 
unjust              unfair undue biased 
malign              libel slander defame asperse 
caution             discretion prudence heed forethought 
want                need poverty deficiency absence 
reprove             chide dress lecture criticize 
absolute            thorough complete perfect fixed 
unpaid              owing due volunteer unsalaried 
travel              journey course voyage cruise rove 
copious             abundant plentiful ample overflowing 
machine             apparatus contrivance device 
hot                 heated peppery biting 
hop                 leap spring dance bound jump 
significance        important consequential expressive 
